,mes,mm,instalacao,medidor
1,6,89,0160277613,14275245
2,7,111,0160277613,14275245
3,8,125,0160277613,14275245
0,5,125,0160334055,13406449
1,7,59,0160334055,13406449
0,5,732,0160819343,15333227
1,6,64,0160819343,15333227
0,6,50,0160819343,15473382
1,7,102,0160819343,15473382
2,8,81,0160819343,15473382
0,8,60,0160209309,15268905
0,7,378,0000357719,00098656
1,8,366,0000357719,00098656
0,7,114,0000920499,15405925
1,8,82,0000920499,15405925
0,5,71,0000999444,00046658
1,7,149,0000999444,00046658
0,5,145,0000518012,00026648
1,6,91,0000518012,00026648
2,7,86,0000518012,00026648
3,8,69,0000518012,00026648
0,5,743,0160413567,13058598
1,6,316,0160413567,13058598
0,7,58,0160413567,15476023
1,8,48,0160413567,15476023
0,5,69,0001640178,13074278
1,7,101,0001640178,13074278
2,8,124,0001640178,13074278
0,5,75,0009500960,32152283
1,6,58,0009500960,32152283
2,7,49,0009500960,32152283
0,8,297,0160059514,15537041
0,5,97,0160331551,13406352
1,7,102,0160331551,13406352
2,8,103,0160331551,13406352
0,5,89,0160347147,14284032
1,6,413,0160347147,14284032
2,7,219,0160347147,14284032
3,8,96,0160347147,14284032
0,6,124,0001334494,12680690
1,7,179,0001334494,12680690
2,8,479,0001334494,12680690
0,7,56,0000223196,12919995
0,5,163,0000249415,13074143
1,6,55,0000249415,13074143
0,5,199,0160351435,13406634
1,6,151,0160351435,13406634
0,5,83,0000004254,00047752
0,5,135,0160369293,12874810
1,6,151,0160369293,12874810
2,7,169,0160369293,12874810
0,5,68,0160316116,12874753
0,5,149,0160294849,13431308
1,6,185,0160294849,13431308
2,7,171,0160294849,13431308
3,8,132,0160294849,13431308
0,5,306,0160215858,14317051
0,5,105,0160278333,14907515
1,8,304,0160278333,14907515
0,5,87,0160047269,12680656
1,6,62,0160047269,12680656
2,7,76,0160047269,12680656
3,8,60,0160047269,12680656
0,5,147,0001489727,13074405
1,7,109,0001489727,13074405
2,8,134,0001489727,13074405
0,5,72,0160276886,15137214
1,6,99,0160276886,15137214
2,7,102,0160276886,15137214
0,5,291,0160194492,13058782
0,7,84,0160194492,15536131
1,8,100,0160194492,15536131
0,5,51,0001048372,14132053
1,6,59,0001048372,14132053
2,7,72,0001048372,14132053
0,8,206,0001584783,15536967
0,5,120,0160416564,14869277
1,7,182,0160416564,14869277
2,8,234,0160416564,14869277
0,5,341,0160310624,12749342
1,6,213,0160310624,12749342
0,5,722,0160143843,12828094
1,6,137,0160143843,12828094
2,7,124,0160143843,12828094
0,7,187,0000156972,15473362
1,8,172,0000156972,15473362
0,5,363,0001054936,12874914
0,8,311,0001054936,15496736
0,5,52,0160141442,12919655
0,7,258,0160346292,13406567
1,8,154,0160346292,13406567
0,5,117,0001428004,00002794
1,7,60,0001428004,00002794
2,8,60,0001428004,00002794
0,5,112,0160281373,13406362
1,6,65,0160281373,13406362
2,7,64,0160281373,13406362
0,5,293,0001376886,00048779
1,6,213,0001376886,00048779
0,6,118,0160282833,15314024
1,7,125,0160282833,15314024
2,8,79,0160282833,15314024
0,5,49,0001696279,13074393
1,6,58,0001696279,13074393
2,7,57,0001696279,13074393
0,5,580,0001620528,13058399
1,6,347,0001620528,13058399
2,7,142,0001620528,13058399
0,5,322,0000248330,13074342
0,8,182,0160166207,15203970
0,5,219,0000249406,13074349
1,7,70,0000249406,13074349
2,8,61,0000249406,13074349
0,5,118,0160041564,12680643
1,6,145,0160041564,12680643
2,7,57,0160041564,12680643
3,8,303,0160041564,12680643
0,5,242,0160278764,00047518
1,6,128,0160278764,00047518
2,7,53,0160278764,00047518
3,8,232,0160278764,00047518
0,6,606,0000954014,15473366
1,7,340,0000954014,15473366
2,8,61,0000954014,15473366
0,6,324,0160824687,15289155
1,7,323,0160824687,15289155
2,8,440,0160824687,15289155
0,5,454,0000626087,00008794
1,6,579,0000626087,00008794
2,7,160,0000626087,00008794
0,8,150,0000626087,15269127
0,7,142,0009502407,15536943
1,8,151,0009502407,15536943
0,5,178,0000530101,13523898
0,5,246,0001628166,12919550
1,6,87,0001628166,12919550
2,7,75,0001628166,12919550
3,8,121,0001628166,12919550
0,5,61,0001431447,00026477
1,6,54,0001431447,00026477
0,5,664,0001024847,13058708
1,6,59,0001024847,13058708
2,7,124,0001024847,13058708
0,5,149,0160042544,12680492
1,6,116,0160042544,12680492
2,7,121,0160042544,12680492
3,8,170,0160042544,12680492
0,5,743,0009500937,13059130
1,6,129,0009500937,13059130
0,5,743,0009500937,13059130
1,6,129,0009500937,13059130
0,5,133,0000820712,12827977
1,6,176,0000820712,12827977
2,7,134,0000820712,12827977
3,8,85,0000820712,12827977
0,5,314,0001000916,00093108
0,5,344,0001253078,12920385
0,6,53,0009500718,15537036
1,7,476,0009500718,15537036
2,8,483,0009500718,15537036
0,6,53,0009500718,15537036
1,7,476,0009500718,15537036
2,8,483,0009500718,15537036
0,6,53,0009500718,15537036
1,7,476,0009500718,15537036
2,8,483,0009500718,15537036
0,5,115,0001119203,13058264
1,6,100,0001119203,13058264
2,7,99,0001119203,13058264
0,5,127,0160166661,12697317
1,6,159,0160166661,12697317
2,7,139,0160166661,12697317
0,5,335,0160177078,12875310
1,6,341,0160177078,12875310
2,7,51,0160177078,12875310
0,5,234,0001729094,13432011
1,6,162,0001729094,13432011
2,8,76,0001729094,13432011
0,5,618,0160253459,12920611
1,6,244,0160253459,12920611
0,8,68,0160386387,14317119
0,5,435,0009502785,32154165
0,6,64,0009502785,15476017
1,7,102,0009502785,15476017
2,8,112,0009502785,15476017
0,5,141,0000171412,12680649
1,6,180,0000171412,12680649
2,7,115,0000171412,12680649
3,8,88,0000171412,12680649
0,5,68,0000003788,13831457
0,5,123,0160049678,12680693
0,5,50,0160280651,14631420
0,5,459,0160315337,13337000
1,6,63,0160315337,13337000
2,7,387,0160315337,13337000
0,5,480,0160279305,14763431
1,6,123,0160279305,14763431
0,8,67,0000652481,00026713
0,7,73,0001714693,12680681
1,8,310,0001714693,12680681
0,7,59,0000563290,12875617
1,8,55,0000563290,12875617
0,5,72,0160025499,00093058
1,7,164,0160025499,00093058
2,8,396,0160025499,00093058
0,5,92,0160282163,14631364
1,6,154,0160282163,14631364
2,7,156,0160282163,14631364
3,8,76,0160282163,14631364
0,5,48,0000517146,00037397
0,5,51,0000807577,13058686
0,7,152,0009501057,15476008
1,8,409,0009501057,15476008
0,5,60,0000356768,13831366
1,6,117,0000356768,13831366
2,7,63,0000356768,13831366
0,5,88,0160260573,13431268
1,6,116,0160260573,13431268
2,7,148,0160260573,13431268
3,8,68,0160260573,13431268
0,5,73,0000000044,12680606
1,6,59,0000000044,12680606
0,5,110,0160282857,14191502
0,5,78,0160282860,14602108
1,6,116,0160282860,14602108
2,7,85,0160282860,14602108
3,8,121,0160282860,14602108
0,5,178,0001822100,12875542
0,6,89,0160357213,14275240
1,7,160,0160357213,14275240
2,8,175,0160357213,14275240
0,5,345,0001408713,13831182
1,6,223,0001408713,13831182
2,7,133,0001408713,13831182
3,8,71,0001408713,13831182
0,5,197,0160378675,13431311
1,6,108,0160378675,13431311
0,5,352,0160125271,14317108
1,6,129,0160125271,14317108
2,8,242,0160125271,14317108
0,5,60,0160446458,13831249
1,6,49,0160446458,13831249
2,7,55,0160446458,13831249
3,8,78,0160446458,13831249
0,5,50,0000485355,00002770
1,6,72,0000485355,00002770
2,7,96,0000485355,00002770
3,8,85,0000485355,00002770
0,6,405,0001627784,13960027
1,7,388,0001627784,13960027
0,5,115,0000261546,12680672
1,6,83,0000261546,12680672
2,7,65,0000261546,12680672
3,8,62,0000261546,12680672
0,5,116,0160396833,00047807
0,7,124,0000477211,15347714
1,8,280,0000477211,15347714
0,5,293,0160325035,14283715
1,7,202,0160325035,14283715
2,8,358,0160325035,14283715
0,5,143,0160136411,12793507
0,8,561,0160136411,14566621
0,7,197,0001446086,15405982
1,8,175,0001446086,15405982
0,7,51,0009502432,12794010
1,8,54,0009502432,12794010
0,5,325,0000810965,13058011
0,6,137,0000810965,15368497
1,7,259,0000810965,15368497
2,8,262,0000810965,15368497
0,5,48,0160058948,12697383
0,5,184,0160326653,13017123
1,6,154,0160326653,13017123
0,5,325,0001440416,13406496
0,5,195,0160811908,15289151
1,6,92,0160811908,15289151
2,7,229,0160811908,15289151
3,8,349,0160811908,15289151
0,5,52,0000765025,00026515
0,5,178,0160051656,12827916
1,6,107,0160051656,12827916
2,8,70,0160051656,12827916
0,6,62,0160424225,13017306
1,7,54,0160424225,13017306
0,5,55,0160072132,12697372
0,8,145,0160284868,15543391
0,6,68,0009502650,12680596
1,7,76,0009502650,12680596
2,8,48,0009502650,12680596
0,6,68,0009502650,12680596
1,7,76,0009502650,12680596
2,8,48,0009502650,12680596
0,5,252,0160182974,13058311
1,6,192,0160182974,13058311
2,7,139,0160182974,13058311
0,5,68,0160045096,12680668
1,6,54,0160045096,12680668
2,8,52,0160045096,12680668
0,5,263,0160440606,13701673
1,6,262,0160440606,13701673
0,8,249,0160440606,15314022
0,5,505,0000230384,13058439
0,5,82,0160757786,14866702
1,6,115,0160757786,14866702
2,7,54,0160757786,14866702
0,5,95,0160277741,12827913
1,7,100,0160277741,12827913
0,5,48,0009501935,12680569
1,6,51,0009501935,12680569
2,7,61,0009501935,12680569
0,5,522,0160543111,14061158
1,6,483,0160543111,14061158
0,7,350,0160543111,14330298
1,8,375,0160543111,14330298
0,5,135,0009501902,12680540
1,6,80,0009501902,12680540
2,7,88,0009501902,12680540
0,5,118,0160086085,12697382
1,6,57,0160086085,12697382
0,5,71,0160279128,00049448
1,6,71,0160279128,00049448
0,5,58,0160279127,00047333
1,6,54,0160279127,00047333
0,5,107,0160279126,12919876
1,6,93,0160279126,12919876
2,7,94,0160279126,12919876
3,8,76,0160279126,12919876
0,5,89,0160133953,12875274
1,6,68,0160133953,12875274
2,7,55,0160133953,12875274
3,8,55,0160133953,12875274
0,5,231,0000643924,12828147
1,6,152,0000643924,12828147
2,7,51,0000643924,12828147
0,5,204,0000304776,15204056
1,6,233,0000304776,15204056
2,7,223,0000304776,15204056
3,8,198,0000304776,15204056
0,5,313,0160281148,13831688
1,6,268,0160281148,13831688
2,7,122,0160281148,13831688
3,8,203,0160281148,13831688
0,5,79,0000693723,13336927
1,6,85,0000693723,13336927
2,7,63,0000693723,13336927
3,8,49,0000693723,13336927
0,5,338,0009502627,13017253
1,6,277,0009502627,13017253
2,7,236,0009502627,13017253
3,8,100,0009502627,13017253
0,5,100,0160128558,12875210
1,6,54,0160128558,12875210
0,5,102,0160128557,12875253
0,5,53,0001312386,13058494
1,7,78,0001312386,13058494
2,8,107,0001312386,13058494
0,5,108,0000004156,15023345
1,6,83,0000004156,15023345
0,5,131,0160447398,12697342
1,6,67,0160447398,12697342
0,5,129,0009502711,12919333
1,6,155,0009502711,12919333
2,7,213,0009502711,12919333
3,8,206,0009502711,12919333
0,5,65,0000375097,12875182
1,6,60,0000375097,12875182
2,7,65,0000375097,12875182
0,5,244,0000553319,12920096
1,7,437,0000553319,12920096
0,5,436,0160299244,13292514
1,6,189,0160299244,13292514
2,7,267,0160299244,13292514
0,8,311,0000152075,15431997
0,7,52,0009501071,12794193
0,5,593,0160581342,14133269
1,6,616,0160581342,14133269
0,5,593,0160581342,14133269
1,6,616,0160581342,14133269
0,8,397,0160581342,15536959
0,5,599,0160621806,14437155
1,6,559,0160621806,14437155
0,5,599,0160621806,14437155
1,6,559,0160621806,14437155
0,7,372,0160621806,15536953
1,8,374,0160621806,15536953
0,7,48,0160324595,13058866
0,5,154,0009501044,12697371
0,5,154,0009501044,12697371
0,5,161,0001598683,14130515
1,6,614,0001598683,14130515
0,5,549,0160082267,12793531
1,6,412,0160082267,12793531
2,7,148,0160082267,12793531
3,8,79,0160082267,12793531
0,5,68,0160368882,13406616
1,6,58,0160368882,13406616
2,7,74,0160368882,13406616
3,8,52,0160368882,13406616
0,7,250,0000717514,00017521
1,8,208,0000717514,00017521
0,5,61,0160089605,12793506
1,7,53,0160089605,12793506
0,5,205,0009500880,12680552
1,6,74,0009500880,12680552
2,7,118,0009500880,12680552
3,8,178,0009500880,12680552
0,5,121,0009501900,13017368
1,6,146,0009501900,13017368
2,7,101,0009501900,13017368
3,8,238,0009501900,13017368
0,5,121,0009501900,13017368
1,6,146,0009501900,13017368
2,7,101,0009501900,13017368
3,8,238,0009501900,13017368
0,7,210,0160804834,15289149
1,8,174,0160804834,15289149
0,5,124,0001501678,00037412
1,6,72,0001501678,00037412
2,7,86,0001501678,00037412
3,8,68,0001501678,00037412
0,5,57,0160510032,15288081
1,6,142,0160510032,15288081
2,7,51,0160510032,15288081
3,8,61,0160510032,15288081
0,5,623,0160019450,13862485
1,6,206,0160019450,13862485
0,6,52,0009501604,12794210
0,5,62,0000472790,00049299
0,8,304,0000472790,15537697
0,6,50,0000081002,13791348
0,8,227,0000081002,15473395
0,5,228,0000497070,13058131
1,6,301,0000497070,13058131
2,8,151,0000497070,13058131
0,7,245,0000501651,15405926
1,8,491,0000501651,15405926
0,5,378,0000088062,13240799
1,6,266,0000088062,13240799
0,7,176,0000088062,15405957
1,8,203,0000088062,15405957
0,5,113,0160285633,12680515
1,6,51,0160285633,12680515
0,5,113,0160285633,12680515
1,6,51,0160285633,12680515
0,5,274,0000245326,13058134
1,7,116,0000245326,13058134
2,8,76,0000245326,13058134
0,5,200,0160470824,13862406
1,6,85,0160470824,13862406
0,5,321,0001410063,13406356
1,6,94,0001410063,13406356
2,7,270,0001410063,13406356
3,8,287,0001410063,13406356
0,5,239,0001110559,12793441
1,6,93,0001110559,12793441
2,8,70,0001110559,12793441
0,5,51,0160266385,13240894
1,6,63,0160266385,13240894
0,5,459,0009502284,12793927
0,6,59,0009502284,15476001
1,7,70,0009502284,15476001
0,8,99,0160110984,15536144
0,5,188,0160054797,13058408
1,6,90,0160054797,13058408
2,7,71,0160054797,13058408
0,5,534,0160213783,13431815
1,6,191,0160213783,13431815
2,7,199,0160213783,13431815
3,8,110,0160213783,13431815
0,5,226,0001302904,12875315
1,6,67,0001302904,12875315
0,5,70,0160059258,12680604
0,5,743,0009500423,13059221
1,6,555,0009500423,13059221
0,5,743,0009500423,13059221
1,6,555,0009500423,13059221
0,7,310,0009500423,15536981
1,8,735,0009500423,15536981
0,5,54,0001908734,14130146
1,6,71,0001908734,14130146
0,5,89,0160277112,14602132
0,6,93,0160202167,15432037
1,7,115,0160202167,15432037
2,8,74,0160202167,15432037
0,6,109,0001921794,15496665
1,7,264,0001921794,15496665
2,8,159,0001921794,15496665
0,5,150,0001366211,12680665
1,6,237,0001366211,12680665
2,7,337,0001366211,12680665
3,8,307,0001366211,12680665
0,5,54,0000999895,13831586
1,7,50,0000999895,13831586
2,8,109,0000999895,13831586
0,5,428,0001046989,12793560
1,6,485,0001046989,12793560
2,7,142,0001046989,12793560
0,5,79,0160065752,12697374
0,5,61,0001706564,12680556
0,5,79,0160065752,12697374
0,5,294,0160321588,13337122
1,7,226,0160321588,13337122
2,8,223,0160321588,13337122
0,5,458,0160213047,13074378
1,6,60,0160213047,13074378
2,7,435,0160213047,13074378
0,7,78,0160278637,15289122
0,6,178,0160193086,15473321
1,7,242,0160193086,15473321
2,8,164,0160193086,15473321
0,5,354,0001053201,13058370
1,6,139,0001053201,13058370
2,7,89,0001053201,13058370
0,5,96,0001472054,00026471
1,6,57,0001472054,00026471
2,7,67,0001472054,00026471
3,8,52,0001472054,00026471
0,5,112,0160324835,15313945
1,6,73,0160324835,15313945
2,7,50,0160324835,15313945
0,5,86,0160074414,12680551
0,5,287,0160339304,12919174
1,6,198,0160339304,12919174
2,7,120,0160339304,12919174
0,5,232,0160122933,12875329
1,6,222,0160122933,12875329
2,7,222,0160122933,12875329
0,7,61,0160339304,15536983
1,8,732,0160339304,15536983
0,7,59,0160122933,14566625
1,8,687,0160122933,14566625
0,5,260,0160123149,12875228
1,6,157,0160123149,12875228
2,7,81,0160123149,12875228
0,5,708,0160205148,13240692
1,6,298,0160205148,13240692
0,5,411,0000978739,13240717
0,5,368,0000144617,13058122
0,5,394,0160314916,13337040
0,6,162,0160314916,15347606
1,7,330,0160314916,15347606
2,8,310,0160314916,15347606
0,7,72,0160205148,15496705
1,8,458,0160205148,15496705
0,8,556,0000144650,15496741
0,7,118,0000580116,14602110
1,8,354,0000580116,14602110
0,5,131,0160079113,12680636
1,6,48,0160079113,12680636
0,5,72,0160281928,15269137
1,6,120,0160281928,15269137
2,7,97,0160281928,15269137
3,8,66,0160281928,15269137
0,5,179,0160283541,00017509
1,6,92,0160283541,00017509
2,7,55,0160283541,00017509
3,8,81,0160283541,00017509
0,5,157,0001242676,13406609
1,7,67,0001242676,13406609
0,5,309,0000146656,13057853
1,6,230,0000146656,13057853
2,7,136,0000146656,13057853
0,5,97,0000146685,12680647
0,5,434,0160300665,13337007
0,5,96,0160191321,13058172
1,6,53,0160191321,13058172
2,8,49,0160191321,13058172
0,5,91,0000146578,12680611
1,6,48,0000146578,12680611
0,8,504,0160300665,15431975
0,5,727,0001990414,00066144
1,6,152,0001990414,00066144
0,8,101,0001990414,15405933
0,5,139,0001937798,15023460
1,6,86,0001937798,15023460
2,7,90,0001937798,15023460
3,8,100,0001937798,15023460
0,5,105,0160102719,12874927
1,7,70,0160102719,12874927
0,5,48,0160051400,12680560
0,5,48,0160051400,12680560
0,5,121,0000613276,12875628
1,7,94,0000613276,12875628
2,8,66,0000613276,12875628
0,5,700,0160258107,13240850
1,6,435,0160258107,13240850
0,5,378,0000907190,12919925
1,6,337,0000907190,12919925
2,8,86,0000907190,12919925
0,6,245,0160258107,15347694
1,7,341,0160258107,15347694
0,8,144,0001635576,15496748
0,5,543,0009501693,32151671
1,6,513,0009501693,32151671
2,7,136,0009501693,32151671
0,5,157,0160112211,12697347
1,6,132,0160112211,12697347
2,7,73,0160112211,12697347
3,8,71,0160112211,12697347
0,5,79,0160241968,12919353
1,6,145,0160241968,12919353
2,7,96,0160241968,12919353
3,8,118,0160241968,12919353
0,5,456,0160281166,12874737
1,6,400,0160281166,12874737
2,7,97,0160281166,12874737
0,5,285,0160301873,13074321
1,6,315,0160301873,13074321
0,7,551,0009501693,14330293
1,8,730,0009501693,14330293
0,8,294,0160480951,15536998
0,5,191,0000148091,13337021
1,6,95,0000148091,13337021
2,8,85,0000148091,13337021
0,5,131,0160279057,12920379
0,5,351,0160300217,13017062
1,6,141,0160300217,13017062
2,7,139,0160300217,13017062
0,8,254,0160300217,15536987
0,8,66,0000393382,15543374
0,5,118,0009502457,12919540
1,6,77,0009502457,12919540
2,8,132,0009502457,12919540
0,5,204,0160528970,13960037
1,6,126,0160528970,13960037
0,6,107,0001441773,13058645
1,8,57,0001441773,13058645
0,5,52,0000820085,13337209
1,6,58,0000820085,13337209
2,7,54,0000820085,13337209
3,8,85,0000820085,13337209
0,5,50,0009502301,32152532
0,8,555,0009502301,15537001
0,7,67,0001121562,15413500
1,8,60,0001121562,15413500
0,5,80,0160045134,13057888
1,6,51,0160045134,13057888
2,8,60,0160045134,13057888
0,6,94,0009500206,32152033
1,7,167,0009500206,32152033
2,8,213,0009500206,32152033
0,5,59,0009501254,12794220
0,5,253,0000129003,00046144
1,6,222,0000129003,00046144
2,7,216,0000129003,00046144
3,8,237,0000129003,00046144
0,6,74,0160705554,14630872
1,7,222,0160705554,14630872
2,8,263,0160705554,14630872
0,5,92,0160325361,15287991
1,6,283,0160325361,15287991
2,7,75,0160325361,15287991
3,8,79,0160325361,15287991
0,8,288,0160252651,15347674
0,5,70,0160050311,12680532
0,5,433,0160325621,13338329
1,6,256,0160325621,13338329
0,5,374,0160107046,12875181
1,6,366,0160107046,12875181
2,7,382,0160107046,12875181
0,5,71,0001792609,12680650
1,6,72,0001792609,12680650
2,7,57,0001792609,12680650
3,8,88,0001792609,12680650
0,5,240,0009502477,32152997
1,6,187,0009502477,32152997
2,7,52,0009502477,32152997
0,7,232,0009502477,15289138
1,8,273,0009502477,15289138
0,5,162,0000419340,12680676
1,6,132,0000419340,12680676
2,7,48,0000419340,12680676
3,8,103,0000419340,12680676
0,5,139,0000802541,13058755
0,5,54,0000004092,00065796
0,5,296,0160188543,13337016
0,5,397,0160350617,13406631
1,6,76,0160350617,13406631
0,5,86,0009501888,13058985
0,5,437,0160265864,12828064
0,5,386,0160130191,13058279
0,5,722,0000963010,13406605
1,6,185,0000963010,13406605
2,7,75,0000963010,13406605
0,6,59,0001001140,00013366
1,7,103,0001001140,00013366
2,8,129,0001001140,00013366
0,5,158,0001687759,14631528
0,5,114,0160064901,13058189
1,7,97,0160064901,13058189
2,8,73,0160064901,13058189
0,6,68,0001782155,15413490
0,5,52,0000001834,00037243
0,5,52,0000001834,00037243
0,5,50,0000158128,00026742
0,5,63,0160324767,14283261
1,6,59,0160324767,14283261
0,5,69,0000902151,12680688
0,5,260,0160282558,12919387
1,6,228,0160282558,12919387
2,7,62,0160282558,12919387
0,5,260,0160282558,12919387
1,6,228,0160282558,12919387
2,7,62,0160282558,12919387
0,7,225,0160282558,15536992
1,8,520,0160282558,15536992
0,5,100,0000315622,13406604
0,6,88,0000315622,15473372
1,7,122,0000315622,15473372
2,8,88,0000315622,15473372
0,7,215,0001642774,12875557
1,8,190,0001642774,12875557
0,5,170,0001706131,32154230
1,6,146,0001706131,32154230
2,7,107,0001706131,32154230
0,5,101,0000148717,12697331
1,6,71,0000148717,12697331
2,7,52,0000148717,12697331
0,5,54,0000143715,12680473
0,5,79,0000143716,12697346
0,5,723,0160151998,13017449
0,5,154,0160055136,12680510
1,6,80,0160055136,12680510
0,5,150,0160278807,12874756
1,6,86,0160278807,12874756
0,5,96,0160286491,12874699
1,7,150,0160286491,12874699
2,8,324,0160286491,12874699
0,5,743,0160443347,12794265
1,6,291,0160443347,12794265
0,5,277,0000147028,12874803
1,6,56,0000147028,12874803
2,7,326,0000147028,12874803
3,8,217,0000147028,12874803
0,5,339,0000552273,12794399
0,5,94,0001378460,00037275
0,5,97,0000143895,12680633
1,6,55,0000143895,12680633
0,5,151,0160281211,14069159
1,6,90,0160281211,14069159
2,7,59,0160281211,14069159
0,5,151,0160281211,14069159
1,6,90,0160281211,14069159
2,7,59,0160281211,14069159
0,5,130,0000143184,12794418
1,6,83,0000143184,12794418
0,5,195,0160276768,14522824
1,6,76,0160276768,14522824
2,7,51,0160276768,14522824
0,5,94,0160247940,13960114
0,5,134,0160691745,14522698
1,6,53,0160691745,14522698
0,6,161,0000552273,15473346
1,7,163,0000552273,15473346
2,8,184,0000552273,15473346
0,7,50,0160443347,14573548
1,8,51,0160443347,14573548
0,7,554,0160214293,14630854
1,8,502,0160214293,14630854
0,8,216,0000144763,15496839
0,8,129,0160151998,15537003
0,5,179,0160226733,14130580
1,6,149,0160226733,14130580
2,7,55,0160226733,14130580
0,5,105,0000151939,12697354
1,6,60,0000151939,12697354
0,6,83,0009500363,12794203
1,8,53,0009500363,12794203
0,5,172,0000964871,00008995
0,7,71,0009502693,12827820
1,8,108,0009502693,12827820
0,5,355,0001654551,12919744
1,6,57,0001654551,12919744
0,6,49,0001654551,15405963
0,5,88,0160105636,12827889
0,5,507,0160833913,14865149
0,6,193,0160833913,15333241
1,7,401,0160833913,15333241
2,8,425,0160833913,15333241
0,5,51,0000934167,12680472
0,5,87,0000144021,12680512
0,5,77,0001189810,14478768
1,7,124,0001189810,14478768
0,5,114,0160021278,00066163
1,6,135,0160021278,00066163
2,7,81,0160021278,00066163
0,7,316,0160021278,15345581
1,8,669,0160021278,15345581
0,8,578,0000839022,15333213
0,5,191,0001570978,12680692
1,6,129,0001570978,12680692
2,7,106,0001570978,12680692
3,8,53,0001570978,12680692
0,5,162,0009500072,12794295
1,6,163,0009500072,12794295
2,7,207,0009500072,12794295
0,6,121,0009500072,14630853
1,7,247,0009500072,14630853
2,8,227,0009500072,14630853
0,8,729,0009500072,15536991
0,5,60,0000150579,12680598
0,5,73,0001753845,13240898
0,8,240,0000801069,15405946
0,5,69,0160263198,12919388
1,6,51,0160263198,12919388
2,7,54,0160263198,12919388
0,5,55,0000789176,14631315
0,8,361,0000789176,15543422
0,5,96,0160280717,13017108
1,6,56,0160280717,13017108
2,7,70,0160280717,13017108
3,8,52,0160280717,13017108
0,5,56,0001956302,13017232
1,6,80,0001956302,13017232
0,8,89,0001956302,15496663
0,7,56,0160110699,12874918
0,5,234,0000183124,13240808
1,7,162,0000183124,13240808
2,8,104,0000183124,13240808
0,5,322,0009501709,12793952
1,6,255,0009501709,12793952
2,7,189,0009501709,12793952
3,8,105,0009501709,12793952
0,5,174,0000861898,12794349
1,6,147,0000861898,12794349
2,7,60,0000861898,12794349
3,8,129,0000861898,12794349
0,5,54,0160403700,13523720
0,7,71,0160403700,15314028
1,8,89,0160403700,15314028
0,6,51,0009501997,15333210
1,7,95,0009501997,15333210
2,8,66,0009501997,15333210
0,5,66,0160279401,14573391
1,6,48,0160279401,14573391
2,7,68,0160279401,14573391
3,8,72,0160279401,14573391
0,5,71,0160323290,12874750
1,6,54,0160323290,12874750
0,7,479,0160350730,15537024
1,8,727,0160350730,15537024
0,7,48,0000000289,13337087
0,5,457,0001164800,12827992
1,6,432,0001164800,12827992
2,7,88,0001164800,12827992
0,5,457,0001164800,12827992
1,6,432,0001164800,12827992
2,7,88,0001164800,12827992
0,8,288,0001164800,15347755
0,5,102,0160281202,13058182
1,6,61,0160281202,13058182
0,5,59,0000151837,00048564
1,7,78,0000151837,00048564
2,8,97,0000151837,00048564
0,5,100,0000662725,13058232
0,5,83,0000863867,00047033
1,6,65,0000863867,00047033
2,8,49,0000863867,00047033
0,7,93,0000662725,15473371
1,8,101,0000662725,15473371
0,7,50,0009500569,12697375
0,5,77,0160278277,12794310
1,6,62,0160278277,12794310
2,7,58,0160278277,12794310
0,5,101,0000718914,00002693
0,5,366,0160493411,13831634
0,5,49,0001471645,13057945
0,6,96,0160821738,15409642
1,7,214,0160821738,15409642
2,8,91,0160821738,15409642
0,6,96,0160821738,15409642
1,7,214,0160821738,15409642
2,8,91,0160821738,15409642
0,5,743,0160153704,12874451
1,6,292,0160153704,12874451
0,7,54,0160153704,15333244
1,8,50,0160153704,15333244
0,8,538,0160117727,15057921
0,8,742,0000856984,15496706
0,5,436,0001216249,00046462
1,6,248,0001216249,00046462
0,8,524,0001216249,15496742
0,5,149,0001425139,13074309
1,7,187,0001425139,13074309
2,8,186,0001425139,13074309
0,7,271,0009500677,15537047
1,8,340,0009500677,15537047
0,5,234,0000146252,13336981
0,5,50,0160263114,12874785
1,7,56,0160263114,12874785
0,5,59,0009500605,13058919
0,5,283,0000673837,00065685
1,6,211,0000673837,00065685
0,7,182,0000673837,15413509
1,8,262,0000673837,15413509
0,5,92,0000995715,15313973
1,7,85,0000995715,15313973
2,8,54,0000995715,15313973
0,5,739,0000943740,14907503
1,6,194,0000943740,14907503
0,7,335,0000943740,15496690
1,8,373,0000943740,15496690
0,5,94,0001643367,13240751
1,7,154,0001643367,13240751
2,8,105,0001643367,13240751
0,7,139,0160550679,15536945
1,8,176,0160550679,15536945
0,7,255,0160032716,15023220
1,8,311,0160032716,15023220
0,5,339,0000253946,00045344
1,6,295,0000253946,00045344
0,5,82,0000850546,00026691
1,6,79,0000850546,00026691
2,7,75,0000850546,00026691
3,8,75,0000850546,00026691
0,5,97,0009501035,12919303
1,6,60,0009501035,12919303
0,5,568,0001974562,00013327
1,6,245,0001974562,00013327
2,7,91,0001974562,00013327
0,5,49,0009500923,12680489
0,5,49,0009500923,12680489
0,5,170,0160159141,12875379
1,7,328,0160159141,12875379
0,6,82,0000639241,15313924
1,7,76,0000639241,15313924
0,6,90,0001493944,00013421
0,5,250,0160346014,12920123
1,6,82,0160346014,12920123
2,8,137,0160346014,12920123
0,5,739,0000436418,13240955
1,6,100,0000436418,13240955
