,mes,mm,instalacao,medidor
0,5,57,0000150142,12680603
0,5,298,0160196868,13057983
1,6,103,0160196868,13057983
2,7,352,0160196868,13057983
3,8,161,0160196868,13057983
0,5,55,0000506281,13431985
0,5,176,0009500926,12697341
1,6,229,0009500926,12697341
2,7,247,0009500926,12697341
3,8,73,0009500926,12697341
0,7,86,0009502701,14573457
0,8,92,0160277370,00092605
0,7,51,0001509682,15432060
1,8,81,0001509682,15432060
0,5,126,0160318191,13959929
1,6,146,0160318191,13959929
2,7,57,0160318191,13959929
0,5,200,0160322444,12920397
1,7,122,0160322444,12920397
2,8,142,0160322444,12920397
0,5,444,0001077978,13074371
1,6,365,0001077978,13074371
0,5,115,0000614178,00009223
1,6,128,0000614178,00009223
0,5,161,0000774484,00048402
1,6,72,0000774484,00048402
2,8,50,0000774484,00048402
0,6,198,0009501782,15333252
1,7,577,0009501782,15333252
2,8,546,0009501782,15333252
0,5,140,0000104883,13058505
1,7,64,0000104883,13058505
0,5,338,0000632799,13074268
0,7,187,0000632799,15269105
1,8,241,0000632799,15269105
0,5,743,0009500936,12874519
0,7,223,0009500936,15536980
1,8,415,0009500936,15536980
0,5,436,0000243384,00010127
1,6,70,0000243384,00010127
0,8,359,0000243384,15368539
0,5,68,0160277133,00009827
1,6,98,0160277133,00009827
2,7,139,0160277133,00009827
3,8,216,0160277133,00009827
0,5,191,0000418548,13862538
1,6,109,0000418548,13862538
0,5,732,0009500467,32152687
1,6,630,0009500467,32152687
0,5,732,0009500467,32152687
1,6,630,0009500467,32152687
0,5,651,0000087340,00009718
0,5,107,0160350252,13406417
1,6,68,0160350252,13406417
0,5,340,0160160552,12919851
1,6,293,0160160552,12919851
2,7,328,0160160552,12919851
0,7,489,0009500467,15536975
1,8,485,0009500467,15536975
0,5,89,0160041006,12680654
0,5,71,0009500326,12919518
1,7,168,0009500326,12919518
2,8,76,0009500326,12919518
0,6,119,0160589882,14133253
0,5,275,0160192223,13058094
1,6,84,0160192223,13058094
2,7,269,0160192223,13058094
3,8,152,0160192223,13058094
0,6,54,0001492692,00037388
1,7,120,0001492692,00037388
2,8,115,0001492692,00037388
0,5,192,0000810441,14479045
1,6,197,0000810441,14479045
0,7,247,0000810441,15536979
1,8,348,0000810441,15536979
0,7,386,0160256787,15313988
1,8,696,0160256787,15313988
0,8,255,0009501898,15333250
0,7,187,0160692835,15333251
1,8,429,0160692835,15333251
0,8,107,0009501716,15333249
0,5,51,0160741560,14907496
1,6,149,0160741560,14907496
2,7,127,0160741560,14907496
3,8,112,0160741560,14907496
0,5,284,0000248748,15313844
1,6,127,0000248748,15313844
2,7,73,0000248748,15313844
0,8,200,0001204039,15543395
0,7,592,0001821775,15333265
1,8,615,0001821775,15333265
0,5,129,0160456397,13339990
1,6,113,0160456397,13339990
0,5,198,0000586609,15368409
