;instalacao;data
555;160054225;2019-05-24
555;160054225;2019-06-25
997;160054797;2019-05-22
997;160054797;2019-06-18
997;160054797;2019-07-20
1180;160055136;2019-05-23
1180;160055136;2019-06-24
872;160058948;2019-05-27
1003;160059258;2019-05-23
706;160059514;2019-08-22
1151;160064901;2019-05-28
1151;160064901;2019-07-25
1151;160064901;2019-08-27
234;160065379;2019-05-22
234;160065379;2019-06-18
234;160065379;2019-07-20
234;160065379;2019-08-19
1029;160065752;2019-05-23
127;160070877;2019-05-27
127;160070877;2019-06-26
883;160072132;2019-05-27
1043;160074414;2019-05-23
414;160075574;2019-05-29
414;160075574;2019-06-27
1061;160079113;2019-03-06
1061;160079113;2019-06-05
344;160079928;2019-05-24
344;160079928;2019-07-23
344;160079928;2019-08-23
951;160082267;2019-05-22
951;160082267;2019-06-18
951;160082267;2019-07-20
951;160082267;2019-08-19
324;160086067;2019-05-27
904;160086085;2019-05-24
904;160086085;2019-06-25
666;160088166;2019-05-23
666;160088166;2019-06-24
666;160088166;2019-07-26
666;160088166;2019-08-22
954;160089605;2019-05-22
954;160089605;2019-07-20
1363;160089900;2019-05-27
1363;160089900;2019-06-26
1363;160089900;2019-07-28
1363;160089900;2019-08-26
327;160097365;2019-05-16
328;160097365;2019-07-15
328;160097365;2019-08-15
614;160101225;2019-08-23
553;160101624;2019-05-07
553;160101624;2019-06-08
114;160102349;2019-05-29
114;160102349;2019-06-27
114;160102349;2019-08-28
1078;160102719;2019-05-13
1078;160102719;2019-10-07
239;160104105;2019-08-22
86;160104682;2019-05-22
86;160104682;2019-06-18
86;160104682;2019-07-20
86;160104682;2019-08-19
1217;160105636;2019-05-27
1131;160107046;2019-05-27
1131;160107046;2019-06-25
1131;160107046;2019-07-24
639;160109047;2019-05-16
639;160109047;2019-06-13
639;160109047;2019-07-15
1246;160110699;2019-07-16
996;160110984;2019-08-22
1089;160112211;2019-05-23
1089;160112211;2019-06-24
1089;160112211;2019-07-26
1089;160112211;2019-08-22
1288;160117727;2019-08-28
369;160119823;2019-05-21
369;160119823;2019-08-20
1045;160122933;2019-05-20
1045;160122933;2019-06-17
1045;160122933;2019-07-17
1047;160122933;2019-08-19
1049;160123149;2019-03-06
1049;160123149;2019-03-07
1049;160123149;2019-06-05
853;160125271;2019-05-22
853;160125271;2019-06-18
853;160125271;2019-08-19
920;160128557;2019-05-21
919;160128558;2019-05-21
919;160128558;2019-06-18
1145;160130191;2019-05-22
281;160130360;2019-07-05
908;160133953;2019-05-14
908;160133953;2019-08-13
908;160133953;2019-11-06
908;160133953;2019-11-07
110;160134792;2019-07-26
110;160134792;2019-08-28
863;160136411;2019-05-24
864;160136411;2019-08-23
72;160139079;2019-03-07
72;160139079;2019-03-08
747;160141442;2019-05-22
738;160143843;2019-05-27
738;160143843;2019-06-25
738;160143843;2019-07-24
62;160147957;2019-05-22
62;160147957;2019-06-18
62;160147957;2019-07-20
62;160147957;2019-08-19
1179;160151998;2019-05-23
1202;160151998;2019-08-22
1285;160153704;2019-05-28
1285;160153704;2019-06-27
1286;160153704;2019-07-28
1286;160153704;2019-08-27
346;160156424;2019-06-05
431;160158470;2019-05-27
431;160158470;2019-06-25
432;160158470;2019-08-26
1328;160159141;2019-09-07
1328;160159141;2019-10-05
182;160160552;2019-05-28
182;160160552;2019-06-26
182;160160552;2019-07-25
662;160165006;2019-05-27
663;160165006;2019-07-28
663;160165006;2019-08-26
766;160166207;2019-08-27
808;160166661;2019-05-24
808;160166661;2019-06-25
808;160166661;2019-07-26
809;160177078;2019-05-22
809;160177078;2019-06-18
809;160177078;2019-07-20
95;160178826;2019-05-22
95;160178826;2019-06-18
95;160178826;2019-07-20
287;160180311;2019-05-15
564;160180320;2019-08-19
888;160182974;2019-06-06
888;160182974;2019-08-07
888;160182974;2019-09-05
371;160185046;2019-08-21
415;160186839;2019-07-20
415;160186839;2019-08-19
119;160187986;2019-05-23
119;160187986;2019-06-24
119;160187986;2019-07-26
119;160187986;2019-08-22
580;160188144;2019-03-07
580;160188144;2019-03-08
580;160188144;2019-06-05
108;160188269;2019-05-22
1141;160188543;2019-05-22
1071;160191321;2019-05-29
1071;160191321;2019-06-27
1071;160191321;2019-08-28
198;160192223;2019-05-15
198;160192223;2019-08-14
198;160192223;2019-12-06
198;160192223;2019-12-07
1039;160193086;2019-06-27
1039;160193086;2019-07-26
1039;160193086;2019-08-28
728;160194492;2019-05-22
729;160194492;2019-07-20
729;160194492;2019-08-19
139;160196868;2019-05-17
139;160196868;2019-06-14
139;160196868;2019-07-16
139;160196868;2019-08-16
477;160198809;2019-05-22
1013;160202167;2019-08-14
1013;160202167;2019-12-06
1013;160202167;2019-12-07
1050;160205148;2019-05-23
1050;160205148;2019-06-21
1057;160205148;2019-07-22
1057;160205148;2019-08-22
690;160209309;2019-08-19
50;160209569;2019-05-17
51;160209569;2019-07-16
51;160209569;2019-08-16
1036;160213047;2019-03-06
1036;160213047;2019-03-07
1036;160213047;2019-06-05
362;160213214;2019-05-29
362;160213214;2019-07-26
362;160213214;2019-08-28
999;160213783;2019-05-22
999;160213783;2019-06-18
999;160213783;2019-07-20
999;160213783;2019-08-19
1198;160214293;2019-07-26
1198;160214293;2019-08-22
723;160215858;2019-05-22
343;160221353;2019-05-08
1203;160226733;2019-05-24
1203;160226733;2019-06-24
1203;160226733;2019-07-23
1090;160241968;2019-05-23
1090;160241968;2019-06-24
1090;160241968;2019-07-26
1090;160241968;2019-08-22
476;160246181;2019-06-24
476;160246181;2019-07-26
476;160246181;2019-08-22
1194;160247940;2019-05-23
233;160249663;2019-05-28
233;160249663;2019-07-25
1126;160252651;2019-08-19
811;160253459;2019-05-22
811;160253459;2019-06-18
207;160256787;2019-07-17
207;160256787;2019-08-19
1082;160258107;2019-05-14
1086;160258107;2019-11-06
1086;160258107;2019-11-07
115;160258451;2019-05-27
843;160260573;2019-05-22
843;160260573;2019-06-18
843;160260573;2019-07-20
843;160260573;2019-08-19
1301;160263114;2019-05-23
1301;160263114;2019-07-26
1240;160263198;2019-05-23
1240;160263198;2019-06-24
1240;160263198;2019-07-26
1144;160265864;2019-05-22
990;160266385;2019-05-22
990;160266385;2019-06-18
1352;160274030;2019-05-22
1352;160274030;2019-07-20
462;160275194;2019-05-22
462;160275194;2019-06-18
1193;160276768;2019-05-23
1193;160276768;2019-06-24
1193;160276768;2019-07-26
296;160276771;2019-08-23
338;160276776;2019-05-16
338;160276776;2019-06-13
338;160276776;2019-07-15
338;160276776;2019-08-15
727;160276886;2019-05-22
727;160276886;2019-06-18
727;160276886;2019-07-20
57;160276979;2019-05-24
57;160276979;2019-06-25
57;160276979;2019-07-26
57;160276979;2019-08-23
626;160277084;2019-04-06
626;160277084;2019-04-07
626;160277084;2019-05-08
626;160277084;2019-07-05
1011;160277112;2019-05-20
170;160277133;2019-05-22
170;160277133;2019-06-18
170;160277133;2019-07-20
170;160277133;2019-08-19
530;160277147;2019-05-22
530;160277147;2019-06-18
530;160277147;2019-07-20
147;160277370;2019-08-28
681;160277613;2019-05-24
681;160277613;2019-06-24
681;160277613;2019-07-23
681;160277613;2019-08-23
894;160277741;2019-05-14
894;160277741;2019-11-07
251;160278200;2019-05-14
1274;160278277;2019-05-27
1274;160278277;2019-06-26
1274;160278277;2019-07-28
724;160278333;2019-05-22
724;160278333;2019-08-19
293;160278419;2019-05-27
293;160278419;2019-07-28
293;160278419;2019-08-26
1038;160278637;2019-07-26
771;160278764;2019-05-22
771;160278764;2019-06-18
771;160278764;2019-07-20
771;160278764;2019-08-19
250;160278777;2019-03-06
250;160278777;2019-03-07
250;160278777;2019-06-05
1182;160278807;2019-05-24
1182;160278807;2019-06-25
674;160279015;2019-05-22
674;160279015;2019-06-18
1097;160279057;2019-05-21
907;160279126;2019-05-27
907;160279126;2019-06-25
907;160279126;2019-07-24
907;160279126;2019-08-26
906;160279127;2019-05-27
906;160279127;2019-06-25
905;160279128;2019-05-27
905;160279128;2019-06-25
1365;160279237;2019-04-06
1365;160279237;2019-05-08
1365;160279237;2019-07-05
1366;160279238;2019-04-06
1366;160279238;2019-05-08
1366;160279238;2019-07-05
828;160279305;2019-05-22
828;160279305;2019-06-18
1259;160279401;2019-05-22
1259;160279401;2019-06-18
1259;160279401;2019-07-20
1259;160279401;2019-08-19
1339;160280065;2019-05-22
1339;160280065;2019-06-18
1339;160280065;2019-07-20
1339;160280065;2019-08-19
826;160280651;2019-05-16
1243;160280717;2019-05-23
1243;160280717;2019-06-24
1243;160280717;2019-07-26
1243;160280717;2019-08-22
13;160280927;2019-07-20
13;160280927;2019-08-19
915;160281148;2019-05-14
915;160281148;2019-08-13
915;160281148;2019-11-06
915;160281148;2019-11-07
1091;160281166;2019-05-23
1091;160281166;2019-06-24
1091;160281166;2019-07-26
1268;160281202;2019-05-29
1268;160281202;2019-06-27
1190;160281211;2019-05-22
1190;160281211;2019-06-18
1190;160281211;2019-07-20
753;160281373;2019-06-06
753;160281373;2019-08-07
753;160281373;2019-09-05
541;160281749;2019-05-17
541;160281749;2019-06-14
541;160281749;2019-08-16
1065;160281928;2019-05-13
1065;160281928;2019-10-06
1065;160281928;2019-10-07
1065;160281928;2019-12-08
834;160282163;2019-05-24
834;160282163;2019-06-24
834;160282163;2019-07-23
834;160282163;2019-08-23
85;160282490;2019-05-22
85;160282490;2019-06-18
85;160282490;2019-07-20
85;160282490;2019-08-19
1165;160282558;2019-05-23
1165;160282558;2019-06-24
1165;160282558;2019-07-26
1167;160282558;2019-08-22
228;160282570;2019-07-06
228;160282570;2019-08-19
228;160282570;2019-09-07
228;160282570;2019-10-05
510;160282809;2019-05-22
510;160282809;2019-06-18
510;160282809;2019-07-20
510;160282809;2019-08-19
758;160282833;2019-06-18
758;160282833;2019-07-20
758;160282833;2019-08-19
847;160282857;2019-05-22
848;160282860;2019-05-22
848;160282860;2019-06-18
848;160282860;2019-07-20
848;160282860;2019-08-19
411;160283334;2019-05-22
411;160283334;2019-06-18
411;160283334;2019-07-20
1066;160283541;2019-07-06
1066;160283541;2019-09-07
1066;160283541;2019-09-08
1066;160283541;2019-10-05
25;160283549;2019-03-06
25;160283549;2019-06-05
60;160283630;2019-06-18
885;160284868;2019-08-21
977;160285633;2019-05-23
977;160285633;2019-06-24
1183;160286491;2019-05-28
1183;160286491;2019-07-28
1183;160286491;2019-08-27
671;160292069;2019-05-22
671;160292069;2019-07-20
721;160294849;2019-05-22
721;160294849;2019-06-18
721;160294849;2019-07-20
721;160294849;2019-08-19
933;160299244;2019-05-22
933;160299244;2019-06-18
933;160299244;2019-07-20
1098;160300217;2019-05-23
1098;160300217;2019-06-24
1098;160300217;2019-07-26
1099;160300217;2019-08-22
1070;160300665;2019-05-17
1073;160300665;2019-08-16
1093;160301873;2019-07-06
1093;160301873;2019-10-05
453;160305164;2019-05-22
453;160305164;2019-06-18
453;160305164;2019-07-20
453;160305164;2019-08-19
6;160310077;2019-08-08
6;160310077;2019-09-05
737;160310624;2019-05-22
737;160310624;2019-06-18
1340;160313208;2019-04-06
1340;160313208;2019-05-08
1340;160313208;2019-07-05
463;160314393;2019-05-15
464;160314393;2019-08-14
463;160314393;2019-12-06
464;160314393;2019-12-07
1056;160314916;2019-07-06
1056;160314916;2019-09-07
1056;160314916;2019-09-08
1055;160314916;2019-10-05
827;160315337;2019-06-06
827;160315337;2019-08-07
827;160315337;2019-09-05
720;160316116;2019-01-05
150;160318191;2019-05-21
150;160318191;2019-06-18
150;160318191;2019-07-18
130;160320357;2019-05-24
130;160320357;2019-06-24
130;160320357;2019-07-23
1035;160321588;2019-05-17
1035;160321588;2019-07-16
1035;160321588;2019-08-16
151;160322444;2019-05-23
151;160322444;2019-07-22
151;160322444;2019-08-22
1260;160323290;2019-05-24
1260;160323290;2019-06-25
397;160324075;2019-04-07
945;160324595;2019-07-28
98;160324635;2019-05-27
97;160324636;2019-05-27
97;160324636;2019-06-26
97;160324636;2019-07-28
97;160324636;2019-08-26
315;160324641;2019-05-06
315;160324641;2019-06-08
315;160324641;2019-08-05
1161;160324767;2019-07-06
1161;160324767;2019-10-05
1042;160324835;2019-04-06
1042;160324835;2019-04-07
1042;160324835;2019-07-05
380;160324953;2019-05-20
380;160324953;2019-07-17
380;160324953;2019-08-19
862;160325035;2019-05-22
862;160325035;2019-07-20
862;160325035;2019-08-19
1122;160325361;2019-05-22
1122;160325361;2019-06-18
1122;160325361;2019-07-20
1122;160325361;2019-08-19
1130;160325621;2019-05-22
1130;160325621;2019-06-18
1377;160325776;2019-05-23
507;160325826;2019-03-07
507;160325826;2019-03-08
1373;160325935;2019-05-22
1373;160325935;2019-06-18
1373;160325935;2019-08-19
1372;160325938;2019-05-17
1372;160325938;2019-06-14
1368;160325952;2019-05-22
1368;160325952;2019-06-19
1368;160325952;2019-07-19
1368;160325952;2019-08-21
1378;160326327;2019-05-22
1378;160326327;2019-06-18
1378;160326327;2019-07-20
1378;160326327;2019-08-19
1383;160326332;2019-05-22
1383;160326332;2019-06-18
1383;160326332;2019-07-20
1381;160326401;2019-05-17
1381;160326401;2019-07-16
1384;160326552;2019-06-18
1384;160326552;2019-07-20
1367;160326652;2019-05-24
1367;160326652;2019-06-24
1367;160326652;2019-07-23
1367;160326652;2019-08-23
873;160326653;2019-05-22
873;160326653;2019-06-18
1376;160326658;2019-05-22
707;160331551;2019-05-13
707;160331551;2019-10-07
707;160331551;2019-12-08
357;160331998;2019-09-05
682;160334055;2019-05-22
682;160334055;2019-07-20
1044;160339304;2019-05-23
1044;160339304;2019-06-24
1046;160339304;2019-07-26
1046;160339304;2019-08-22
366;160339662;2019-04-06
366;160339662;2019-05-08
365;160339662;2019-07-05
364;160341543;2019-05-24
364;160341543;2019-08-23
79;160341645;2019-05-22
79;160341645;2019-06-18
79;160341645;2019-07-20
79;160341645;2019-08-19
595;160342980;2019-05-22
595;160342980;2019-06-18
595;160342980;2019-08-19
317;160343054;2019-04-07
317;160343054;2019-05-08
317;160343054;2019-07-05
1332;160346014;2019-05-22
1332;160346014;2019-06-18
1332;160346014;2019-08-19
748;160346292;2019-07-20
748;160346292;2019-08-19
44;160346358;2019-05-22
708;160347147;2019-05-22
708;160347147;2019-06-18
708;160347147;2019-07-20
708;160347147;2019-08-19
384;160348616;2019-05-23
301;160349962;2019-05-16
301;160349962;2019-06-13
301;160349962;2019-08-15
181;160350252;2019-05-20
181;160350252;2019-06-17
107;160350367;2019-07-20
107;160350367;2019-08-19
1142;160350617;2019-05-22
1142;160350617;2019-06-18
1262;160350730;2019-07-28
1262;160350730;2019-08-26
714;160351435;2019-05-22
714;160351435;2019-06-18
551;160355767;2019-05-22
551;160355767;2019-06-18
850;160357213;2019-06-25
850;160357213;2019-07-26
850;160357213;2019-08-23
952;160368882;2019-05-22
952;160368882;2019-06-18
952;160368882;2019-07-20
952;160368882;2019-08-19
717;160369293;2019-05-22
717;160369293;2019-06-18
717;160369293;2019-07-20
492;160372975;2019-05-23
852;160378675;2019-05-22
852;160378675;2019-06-18
76;160378695;2019-05-22
298;160380914;2019-06-26
298;160380914;2019-07-28
298;160380914;2019-08-26
667;160382313;2019-05-23
668;160382313;2019-08-22
816;160386387;2019-08-26
128;160386604;2019-05-23
132;160386604;2019-07-26
132;160386604;2019-08-22
399;160392312;2019-05-22
262;160392374;2019-05-23
460;160395572;2019-05-24
460;160395572;2019-06-25
460;160395572;2019-07-26
858;160396833;2019-05-22
1252;160403700;2019-05-29
1253;160403700;2019-07-26
1253;160403700;2019-08-28
276;160411333;2019-07-28
276;160411333;2019-08-26
698;160413567;2019-05-23
698;160413567;2019-06-24
699;160413567;2019-07-26
699;160413567;2019-08-22
733;160416564;2019-05-27
733;160416564;2019-07-28
733;160416564;2019-08-26
498;160416792;2019-05-27
498;160416792;2019-06-25
498;160416792;2019-07-24
499;160416792;2019-08-26
882;160424225;2019-06-27
882;160424225;2019-07-28
52;160428066;2019-05-22
1342;160429028;2019-05-24
1342;160429028;2019-06-25
1342;160429028;2019-07-26
1342;160429028;2019-08-23
653;160436078;2019-05-24
653;160436078;2019-06-25
653;160436078;2019-07-26
653;160436078;2019-08-23
890;160440606;2019-03-06
891;160440606;2019-03-08
890;160440606;2019-06-05
1184;160443347;2019-05-23
1184;160443347;2019-06-24
1197;160443347;2019-07-26
1197;160443347;2019-08-22
374;160445033;2019-04-06
374;160445033;2019-04-07
374;160445033;2019-07-05
854;160446458;2019-05-29
854;160446458;2019-06-27
854;160446458;2019-07-26
854;160446458;2019-08-28
927;160447398;2019-05-24
927;160447398;2019-06-25
465;160448504;2019-05-22
465;160448504;2019-06-18
465;160448504;2019-07-20
465;160448504;2019-08-19
599;160456338;2019-08-26
226;160456397;2019-05-22
226;160456397;2019-06-18
452;160458927;2019-07-25
452;160458927;2019-08-27
267;160465411;2019-05-28
267;160465411;2019-06-26
268;160465411;2019-08-27
288;160470567;2019-05-27
288;160470567;2019-06-26
295;160470567;2019-07-28
981;160470824;2019-05-22
981;160470824;2019-06-18
461;160476674;2019-05-22
461;160476674;2019-06-18
461;160476674;2019-07-20
1095;160480951;2019-08-26
502;160488108;2019-05-22
136;160488919;2019-05-27
376;160489528;2019-05-15
377;160489528;2019-08-14
376;160489528;2019-12-06
1277;160493411;2019-05-22
437;160504929;2019-06-14
437;160504929;2019-07-16
437;160504929;2019-08-16
512;160505809;2019-07-05
963;160510032;2019-05-22
963;160510032;2019-06-18
963;160510032;2019-07-20
963;160510032;2019-08-19
543;160512228;2019-04-06
544;160512228;2019-05-08
543;160512228;2019-07-05
46;160515237;2019-05-22
46;160515237;2019-06-18
46;160515237;2019-07-20
47;160515237;2019-08-19
319;160516222;2019-08-20
1103;160528970;2019-07-06
1103;160528970;2019-10-05
898;160543111;2019-05-27
898;160543111;2019-06-26
899;160543111;2019-07-28
899;160543111;2019-08-26
1310;160550679;2019-07-26
1310;160550679;2019-08-23
1348;160557791;2019-05-22
1348;160557791;2019-07-19
1349;160557791;2019-08-21
939;160581342;2019-05-24
939;160581342;2019-06-25
941;160581342;2019-08-23
194;160589882;2019-06-26
487;160608520;2019-05-22
487;160608520;2019-06-18
487;160608520;2019-07-20
942;160621806;2019-05-23
942;160621806;2019-06-24
944;160621806;2019-07-26
944;160621806;2019-08-22
48;160648797;2019-08-19
393;160662730;2019-05-22
393;160662730;2019-06-19
394;160662730;2019-07-19
394;160662730;2019-08-21
519;160669410;2019-05-16
519;160669410;2019-06-13
519;160669410;2019-07-15
87;160671090;2019-05-22
87;160671090;2019-06-18
87;160671090;2019-07-20
87;160671090;2019-08-19
1195;160691745;2019-05-24
1195;160691745;2019-06-25
214;160692835;2019-07-26
214;160692835;2019-08-23
1121;160705554;2019-06-25
1121;160705554;2019-07-26
1121;160705554;2019-08-23
218;160741560;2019-05-28
218;160741560;2019-06-26
218;160741560;2019-07-25
218;160741560;2019-08-27
893;160757786;2019-05-23
893;160757786;2019-06-24
893;160757786;2019-07-26
961;160804834;2019-07-26
961;160804834;2019-08-23
53;160809836;2019-06-26
53;160809836;2019-07-28
53;160809836;2019-08-27
294;160809881;2019-05-24
534;160810548;2019-05-24
534;160810548;2019-07-26
534;160810548;2019-08-23
878;160811908;2019-05-24
878;160811908;2019-06-25
878;160811908;2019-07-26
878;160811908;2019-08-23
687;160819343;2019-01-06
687;160819343;2019-01-07
687;160819343;2019-01-08
686;160819343;2019-05-24
1283;160821738;2019-01-07
1283;160821738;2019-01-08
1283;160821738;2019-06-24
775;160824687;2019-06-25
775;160824687;2019-07-26
775;160824687;2019-08-23
456;160831392;2019-08-23
1218;160833913;2019-05-29
1219;160833913;2019-06-27
1219;160833913;2019-07-28
1219;160833913;2019-08-27
67;160837818;2019-07-28
67;160837818;2019-08-26
