;instalacao;data
970;497070;2019-08-19
973;501651;2019-07-22
973;501651;2019-08-22
140;506281;2019-05-29
591;506308;2019-05-29
592;506308;2019-06-27
592;506308;2019-07-26
592;506308;2019-08-28
92;507035;2019-05-29
92;507035;2019-06-27
345;508232;2019-03-06
345;508232;2019-03-07
345;508232;2019-03-08
345;508232;2019-06-05
1335;508950;2019-05-29
235;508965;2019-05-29
235;508965;2019-06-27
619;511446;2019-05-15
619;511446;2019-08-14
619;511446;2019-12-06
517;511815;2019-06-06
517;511815;2019-08-08
517;511815;2019-09-05
838;517146;2019-05-29
697;518012;2019-05-29
697;518012;2019-06-27
697;518012;2019-07-26
697;518012;2019-08-28
782;530101;2019-05-23
513;530805;2019-05-27
513;530805;2019-06-25
638;548340;2019-05-20
638;548340;2019-06-17
638;548340;2019-07-17
638;548340;2019-08-19
1196;552273;2019-07-06
1196;552273;2019-09-07
1196;552273;2019-09-08
1186;552273;2019-10-05
932;553319;2019-05-22
932;553319;2019-07-20
831;563290;2019-07-15
831;563290;2019-08-15
594;565306;2019-05-24
594;565306;2019-07-23
1060;580116;2019-07-16
1060;580116;2019-08-16
337;583096;2019-05-29
337;583096;2019-06-27
227;586609;2019-05-13
227;586609;2019-10-06
227;586609;2019-10-07
83;606381;2019-06-26
84;606381;2019-07-25
84;606381;2019-08-27
560;608265;2019-05-22
560;608265;2019-06-18
560;608265;2019-07-20
561;608265;2019-08-19
1081;613276;2019-05-07
1081;613276;2019-06-08
1081;613276;2019-08-05
154;614178;2019-05-22
154;614178;2019-06-18
612;625696;2019-05-22
612;625696;2019-08-19
776;626087;2019-05-20
776;626087;2019-06-17
776;626087;2019-07-17
777;626087;2019-08-19
493;627371;2019-05-16
493;627371;2019-06-13
493;627371;2019-08-15
496;630107;2019-12-07
161;632799;2019-05-29
162;632799;2019-07-26
162;632799;2019-08-28
1330;639241;2019-10-06
1330;639241;2019-10-07
65;642506;2019-07-20
65;642506;2019-08-19
909;643924;2019-04-06
909;643924;2019-04-07
909;643924;2019-07-05
829;652481;2019-08-22
489;655992;2019-05-23
489;655992;2019-06-21
489;655992;2019-07-22
105;659806;2019-06-19
105;659806;2019-07-19
105;659806;2019-08-21
1272;662725;2019-05-07
1272;662725;2019-06-08
1270;662725;2019-08-05
1303;673837;2019-05-22
1303;673837;2019-06-18
1304;673837;2019-07-20
1304;673837;2019-08-19
514;687964;2019-04-06
514;687964;2019-05-08
514;687964;2019-07-05
916;693723;2019-05-29
916;693723;2019-06-27
916;693723;2019-07-26
916;693723;2019-08-28
103;698757;2019-05-21
103;698757;2019-06-18
103;698757;2019-07-18
103;698757;2019-08-20
257;714339;2019-05-22
257;714339;2019-06-18
257;714339;2019-07-20
257;714339;2019-08-19
953;717514;2019-07-20
953;717514;2019-08-19
1275;718914;2019-05-24
635;719904;2019-03-07
635;719904;2019-03-08
635;719904;2019-06-05
29;735829;2019-05-22
29;735829;2019-06-18
29;735829;2019-07-20
29;735829;2019-08-19
646;755189;2019-05-22
646;755189;2019-06-18
646;755189;2019-07-20
646;755189;2019-08-19
546;758717;2019-05-22
546;758717;2019-06-18
485;762559;2019-05-23
485;762559;2019-06-21
880;765025;2019-05-29
156;774484;2019-05-22
156;774484;2019-06-18
156;774484;2019-08-19
438;776568;2019-05-21
1242;789176;2019-06-08
1241;789176;2019-08-05
601;795621;2019-04-06
601;795621;2019-04-07
601;795621;2019-05-08
601;795621;2019-07-05
1239;801069;2019-08-16
1137;802541;2019-05-24
505;805964;2019-05-22
505;805964;2019-06-18
839;807577;2019-05-15
203;810441;2019-05-23
203;810441;2019-06-24
204;810441;2019-07-26
204;810441;2019-08-22
870;810965;2019-05-14
871;810965;2019-08-13
871;810965;2019-11-06
871;810965;2019-11-07
368;811282;2019-04-06
367;811282;2019-07-05
449;816335;2019-05-22
449;816335;2019-06-18
449;816335;2019-08-19
516;816486;2019-05-22
516;816486;2019-06-18
516;816486;2019-08-19
1105;820085;2019-05-22
1105;820085;2019-06-18
1105;820085;2019-07-20
1105;820085;2019-08-19
795;820712;2019-05-21
795;820712;2019-06-18
795;820712;2019-07-18
795;820712;2019-08-20
598;823778;2019-03-07
598;823778;2019-06-05
490;825937;2019-05-23
490;825937;2019-06-24
490;825937;2019-07-26
636;835623;2019-05-23
636;835623;2019-06-21
636;835623;2019-07-22
636;835623;2019-08-22
1229;839022;2019-08-19
256;843684;2019-05-22
1314;850546;2019-05-28
1314;850546;2019-06-26
1314;850546;2019-07-25
1314;850546;2019-08-27
1290;856984;2019-08-27
455;859462;2019-05-22
455;859462;2019-06-18
455;859462;2019-07-20
1251;861898;2019-05-13
1251;861898;2019-10-06
1251;861898;2019-10-07
1251;861898;2019-12-08
1271;863867;2019-05-22
1271;863867;2019-06-18
1271;863867;2019-08-19
1164;902151;2019-05-22
572;906455;2019-05-22
572;906455;2019-06-18
572;906455;2019-07-20
572;906455;2019-08-19
1084;907190;2019-06-06
1084;907190;2019-08-08
1084;907190;2019-09-05
330;909823;2019-03-06
330;909823;2019-06-05
695;920499;2019-07-15
695;920499;2019-08-15
1220;934167;2019-05-23
678;939324;2019-05-22
678;939324;2019-06-18
678;939324;2019-07-20
678;939324;2019-08-19
1306;943740;2019-04-06
1307;943740;2019-04-07
1307;943740;2019-05-08
1306;943740;2019-07-05
650;948588;2019-05-16
651;948588;2019-08-15
774;954014;2019-06-18
774;954014;2019-07-20
774;954014;2019-08-19
308;959055;2019-06-19
308;959055;2019-07-19
308;959055;2019-08-21
1147;963010;2019-05-22
1147;963010;2019-06-18
1147;963010;2019-07-20
501;964156;2019-03-06
501;964156;2019-03-07
501;964156;2019-03-08
1208;964871;2019-09-05
1051;978739;2019-10-05
1305;995715;2019-09-07
1305;995715;2019-09-08
1305;995715;2019-10-05
696;999444;2019-05-22
696;999444;2019-07-20
54;999520;2019-05-22
54;999520;2019-06-18
54;999520;2019-07-20
54;999520;2019-08-19
1026;999895;2019-05-28
1026;999895;2019-07-25
1026;999895;2019-08-27
1346;1000012;2019-05-22
1346;1000012;2019-06-18
1346;1000012;2019-07-20
669;1000427;2019-05-28
796;1000916;2019-05-22
1350;1001117;2019-06-19
1350;1001117;2019-07-19
1350;1001117;2019-08-21
1149;1001140;2019-06-25
1149;1001140;2019-07-26
1149;1001140;2019-08-23
0;1001176;2019-05-22
0;1001176;2019-07-20
0;1001176;2019-08-19
400;1007033;2019-05-21
785;1024847;2019-05-20
785;1024847;2019-06-17
785;1024847;2019-07-17
11;1041763;2019-05-24
11;1041763;2019-06-24
12;1041763;2019-08-23
61;1046005;2019-05-27
1027;1046989;2019-05-27
1027;1046989;2019-06-25
1027;1046989;2019-07-24
730;1048372;2019-05-22
730;1048372;2019-06-18
730;1048372;2019-07-20
1040;1053201;2019-05-29
1040;1053201;2019-06-27
1040;1053201;2019-07-26
745;1054936;2019-05-17
746;1054936;2019-08-16
237;1055888;2019-05-23
237;1055888;2019-06-21
631;1059825;2019-05-15
631;1059825;2019-08-14
631;1059825;2019-12-06
631;1059825;2019-12-07
153;1077978;2019-05-22
153;1077978;2019-06-18
554;1099527;2019-05-28
554;1099527;2019-06-27
554;1099527;2019-07-28
554;1099527;2019-08-27
984;1110559;2019-05-20
984;1110559;2019-06-17
984;1110559;2019-08-16
807;1119203;2019-05-29
807;1119203;2019-06-27
807;1119203;2019-07-26
1111;1121562;2019-01-07
1111;1121562;2019-01-08
588;1136932;2019-05-13
589;1136932;2019-10-07
589;1136932;2019-12-08
458;1161423;2019-05-22
458;1161423;2019-06-18
1265;1164800;2019-05-20
1265;1164800;2019-06-17
1265;1164800;2019-07-17
1267;1164800;2019-08-19
641;1167968;2019-05-28
641;1167968;2019-06-26
641;1167968;2019-07-25
641;1167968;2019-08-27
1224;1189810;2019-05-17
1224;1189810;2019-07-16
408;1190018;2019-07-20
408;1190018;2019-08-19
221;1204039;2019-08-19
628;1214414;2019-08-20
1291;1216249;2019-05-06
1292;1216249;2019-06-08
1291;1216249;2019-08-05
1067;1242676;2019-05-23
1067;1242676;2019-07-22
801;1253078;2019-05-22
542;1291293;2019-05-13
1002;1302904;2019-05-22
1002;1302904;2019-06-18
503;1304429;2019-06-06
503;1304429;2019-08-07
503;1304429;2019-08-08
503;1304429;2019-09-05
258;1308055;2019-05-17
259;1308055;2019-06-14
259;1308055;2019-07-16
259;1308055;2019-08-16
922;1312386;2019-05-22
922;1312386;2019-07-20
922;1312386;2019-08-19
278;1322084;2019-05-16
279;1322084;2019-07-15
279;1322084;2019-08-15
645;1324987;2019-05-23
645;1324987;2019-06-21
645;1324987;2019-07-22
645;1324987;2019-08-22
386;1331868;2019-04-06
386;1331868;2019-07-05
710;1334494;2019-06-18
710;1334494;2019-07-20
710;1334494;2019-08-19
66;1365961;2019-05-22
66;1365961;2019-07-20
66;1365961;2019-08-19
1019;1366211;2019-05-21
1019;1366211;2019-06-18
1019;1366211;2019-07-18
1019;1366211;2019-08-20
755;1376886;2019-05-22
755;1376886;2019-06-18
1187;1378460;2019-05-24
101;1393078;2019-08-27
31;1401427;2019-05-22
31;1401427;2019-06-18
32;1401427;2019-07-20
32;1401427;2019-08-19
851;1408713;2019-05-22
851;1408713;2019-06-18
851;1408713;2019-07-20
851;1408713;2019-08-19
982;1410063;2019-05-14
982;1410063;2019-08-13
982;1410063;2019-11-06
982;1410063;2019-11-07
249;1411820;2019-07-06
249;1411820;2019-09-07
249;1411820;2019-10-05
312;1418192;2019-06-27
312;1418192;2019-07-26
58;1420276;2019-08-19
379;1420297;2019-05-16
379;1420297;2019-06-13
379;1420297;2019-07-15
379;1420297;2019-08-15
1293;1425139;2019-05-23
1293;1425139;2019-07-22
1293;1425139;2019-08-22
378;1426334;2019-05-29
378;1426334;2019-06-27
378;1426334;2019-07-26
750;1428004;2019-05-28
750;1428004;2019-07-25
750;1428004;2019-08-27
784;1431447;2019-05-28
784;1431447;2019-06-26
644;1436827;2019-08-23
877;1440416;2019-05-22
1104;1441773;2019-06-18
1104;1441773;2019-08-19
311;1445366;2019-05-29
311;1445366;2019-06-27
311;1445366;2019-07-26
867;1446086;2019-07-20
867;1446086;2019-08-19
280;1468615;2019-05-23
280;1468615;2019-06-21
260;1470814;2019-05-28
1280;1471645;2019-05-22
1041;1472054;2019-05-27
1041;1472054;2019-06-25
1041;1472054;2019-07-24
1041;1472054;2019-08-26
1343;1489690;2019-06-18
726;1489727;2019-05-22
726;1489727;2019-07-20
726;1489727;2019-08-19
341;1490375;2019-05-21
341;1490375;2019-06-18
341;1490375;2019-07-18
341;1490375;2019-08-20
199;1492692;2019-06-24
199;1492692;2019-07-23
199;1492692;2019-08-23
1331;1493944;2019-06-26
349;1500102;2019-07-26
349;1500102;2019-08-28
962;1501678;2019-05-27
962;1501678;2019-06-25
962;1501678;2019-07-24
962;1501678;2019-08-26
28;1502969;2019-05-28
27;1502972;2019-05-28
27;1502972;2019-06-26
676;1502989;2019-05-24
676;1502989;2019-07-23
676;1502989;2019-08-23
149;1509682;2019-07-16
149;1509682;2019-08-16
